name,lat,lon,vars,star,end,accum_TCP_50Y,accum_TCP_1TC,TCP_p70,TCP_p80,TCP_p90,TCP_p95,TCP_p100,TCP_p99,num_record
USC00168539,30.265,-89.7697,PRCP,1956,2020,6970.525515413532,8.152661421536294,36.55004091714745,48.379999999999995,77.84000000000003,100.85999999999996,208.3,161.40800000000007,189
USC00169806,32.0997,-91.7022,PRCP,1893,2018,3742.804002022819,4.377548540377566,33.08635628405102,38.660000000000004,74.93,101.62499999999999,336.6,206.31600000000068,100
USC00170480,44.4394,-68.9892,PRCP,1893,2020,2578.7624845771134,3.0160964731896063,44.52384172122306,49.15957865893131,63.36923521535845,76.51999999999998,116.8,108.89399999999995,60
USC00170600,45.0697,-69.9053,PRCP,1957,2020,2109.9860252324324,2.4678199125525526,46.68056768465184,49.24296831175499,53.1,61.522363097102385,87.6,77.83092387394777,51
USC00170814,45.6603,-69.812,PRCP,1929,2020,1887.7502401364536,2.2078950177034544,46.766893280091516,48.72402377550921,57.87227077989566,62.297676408572684,86.9,80.01499999999996,46
USC00170833,46.4283,-67.8442,PRCP,1957,2020,2058.4082150113163,2.407494988317329,44.78947572063928,47.72710063205217,59.57235341360155,68.82999999999998,109.2,101.06900000000002,48
USC00171628,44.9197,-69.2417,PRCP,1947,2020,2436.343951129218,2.849525089040021,49.45296562948174,52.03198903704386,64.50978390894475,73.05999999999999,88.9,85.03599999999999,57
USC00172765,44.6894,-70.1564,PRCP,1893,2020,1967.9754421167975,2.3017256632945,46.61195261695098,51.90377365318078,71.06000000000002,86.31999999999998,110.7,110.172,45
USC00172878,47.2386,-68.6119,PRCP,1893,2020,1557.0014162559767,1.8210542880186862,44.87902497889071,54.1,57.150000000000006,67.01701140029456,122.4,110.56999999999995,36
USC00173046,44.2203,-69.7889,PRCP,1886,2020,2704.1744179695747,3.162777097040438,45.22523647999875,50.616916753573044,63.20628506181479,101.6,151.4,146.54000000000002,61
